$ python rbmCdk.py
Training epoch 432, cost is 0.7063023330672159
Training epoch 433, cost is 0.6953118673563138
Training epoch 434, cost is 0.6821305662792589
Training epoch 435, cost is 0.6854414768837205
Training epoch 436, cost is 0.6823621213606145
Training epoch 437, cost is 0.6913863219775657
Training epoch 438, cost is 0.6950700466763045
Training epoch 439, cost is 0.690909625628421
Training epoch 440, cost is 0.6766489402319209
Training epoch 441, cost is 0.6819997504039371
Training epoch 442, cost is 0.6827345872469804
Training epoch 443, cost is 0.6863196541851185
Training epoch 444, cost is 0.6851715675939412
Training epoch 445, cost is 0.6799302053016553
Training epoch 446, cost is 0.6597834558674426
Training epoch 447, cost is 0.6450273624242112
Training epoch 448, cost is 0.6479850517276143
Training epoch 449, cost is 0.6328886017312702
Training epoch 450, cost is 0.6379900556134687
Training epoch 451, cost is 0.6469689037004781
Training epoch 452, cost is 0.6536332893750688
Training epoch 453, cost is 0.6595168939063802
Training epoch 454, cost is 0.6591850020132882
Training epoch 455, cost is 0.6689063322867645
Training epoch 456, cost is 0.6815847581927083
Training epoch 457, cost is 0.678267167590663
Training epoch 458, cost is 0.6818308737029616
Training epoch 459, cost is 0.6832454767981084
Training epoch 460, cost is 0.6990149173819926
Training epoch 461, cost is 0.6885830184645102
Training epoch 462, cost is 0.6911076931644083
Training epoch 463, cost is 0.685694063277977
Training epoch 464, cost is 0.6877333907057263
Training epoch 465, cost is 0.6898115999085904
Training epoch 466, cost is 0.6878354832103426
Training epoch 467, cost is 0.6896734927084783
Training epoch 468, cost is 0.6925421880872548
Training epoch 469, cost is 0.7101090053252016
Training epoch 470, cost is 0.6994905523087448
Training epoch 471, cost is 0.6978373575307502
Training epoch 472, cost is 0.6955166498763337
Training epoch 473, cost is 0.690191569018103
Training epoch 474, cost is 0.6837582060761708
Training epoch 475, cost is 0.6939511100282422
Training epoch 476, cost is 0.6891368437532827
Training epoch 477, cost is 0.6838661568013543
Training epoch 478, cost is 0.686146589523735
Training epoch 479, cost is 0.6926417703544563
Training epoch 480, cost is 0.6899189695476977
Training epoch 481, cost is 0.7035728967850569
