============ generation 0 ===============
27 {'chromosome': '1000101111100001', 'fitness': 10}
28 {'chromosome': '1000111000000011', 'fitness': 10}
29 {'chromosome': '0000111011000010', 'fitness': 10}
30 {'chromosome': '1000111011111100', 'fitness': 10}
31 {'chromosome': '1010001111111100', 'fitness': 10}
32 {'chromosome': '0100101010001111', 'fitness': 10}
33 {'chromosome': '0010101010011101', 'fitness': 10}
34 {'chromosome': '1001101000101101', 'fitness': 10}
35 {'chromosome': '1011000010111100', 'fitness': 10}
36 {'chromosome': '0000101000110011', 'fitness': 10}
37 {'chromosome': '1110100001111000', 'fitness': 10}
38 {'chromosome': '1001101011010010', 'fitness': 10}
39 {'chromosome': '0011101000101101', 'fitness': 10}
40 {'chromosome': '1000101000000111', 'fitness': 10}
41 {'chromosome': '0010101010010111', 'fitness': 10}
42 {'chromosome': '1010011000110010', 'fitness': 11}
43 {'chromosome': '1001101000100000', 'fitness': 11}
44 {'chromosome': '0010100011101001', 'fitness': 11}
45 {'chromosome': '1110101000110011', 'fitness': 11}
46 {'chromosome': '1100101000110010', 'fitness': 11}
47 {'chromosome': '1010111011000011', 'fitness': 11}
48 {'chromosome': '1001101000101100', 'fitness': 11}
49 {'chromosome': '0010011011101011', 'fitness': 11}
50 {'chromosome': '0010101111101001', 'fitness': 11}
51 {'chromosome': '1000101001101100', 'fitness': 11}
52 {'chromosome': '1100111011101011', 'fitness': 11}
53 {'chromosome': '1010100011000011', 'fitness': 11}
54 {'chromosome': '1010111011010010', 'fitness': 11}
55 {'chromosome': '1001111111101010', 'fitness': 11}
56 {'chromosome': '0010100010000011', 'fitness': 11}
57 {'chromosome': '1010011010001111', 'fitness': 11}
58 {'chromosome': '1010111100001011', 'fitness': 11}
59 {'chromosome': '1000101000000110', 'fitness': 11}
60 {'chromosome': '0011101111101110', 'fitness': 11}
61 {'chromosome': '1000111010111111', 'fitness': 11}
62 {'chromosome': '1010111011100001', 'fitness': 11}
63 {'chromosome': '0010000010101100', 'fitness': 11}
64 {'chromosome': '1000101000001100', 'fitness': 11}
65 {'chromosome': '0010101010011111', 'fitness': 11}
66 {'chromosome': '1010110010111111', 'fitness': 11}
67 {'chromosome': '1010101010100101', 'fitness': 12}
68 {'chromosome': '1010111011100110', 'fitness': 12}
69 {'chromosome': '1110101000001110', 'fitness': 12}
70 {'chromosome': '1110101010001111', 'fitness': 12}
71 {'chromosome': '1000101110011010', 'fitness': 12}
72 {'chromosome': '1010111010001111', 'fitness': 12}
73 {'chromosome': '1010001010100111', 'fitness': 12}
74 {'chromosome': '1010111000110010', 'fitness': 12}
75 {'chromosome': '1000101000011010', 'fitness': 12}
76 {'chromosome': '1010101010100101', 'fitness': 12}
77 {'chromosome': '1001101000101110', 'fitness': 12}
78 {'chromosome': '1010111011101111', 'fitness': 12}
79 {'chromosome': '1000011011101010', 'fitness': 12}
80 {'chromosome': '1010101111101001', 'fitness': 12}
81 {'chromosome': '1010111010001111', 'fitness': 12}
82 {'chromosome': '1110101000001000', 'fitness': 12}
83 {'chromosome': '0010101010000011', 'fitness': 12}
84 {'chromosome': '1001101000101011', 'fitness': 12}
85 {'chromosome': '1010001010111111', 'fitness': 12}
86 {'chromosome': '1000100010101100', 'fitness': 12}
87 {'chromosome': '1000111011101110', 'fitness': 12}
88 {'chromosome': '1010111010001111', 'fitness': 12}
89 {'chromosome': '1010011011101110', 'fitness': 12}
90 {'chromosome': '1010101110111011', 'fitness': 13}
91 {'chromosome': '1010111010110010', 'fitness': 13}
92 {'chromosome': '1010111011111010', 'fitness': 13}
93 {'chromosome': '1010111011101110', 'fitness': 13}
94 {'chromosome': '1010111010101100', 'fitness': 13}
95 {'chromosome': '0010100010101011', 'fitness': 13}
96 {'chromosome': '0010101011101011', 'fitness': 13}
97 {'chromosome': '0010101011101011', 'fitness': 13}
98 {'chromosome': '1010111010001000', 'fitness': 13}
99 {'chromosome': '0010101011101010', 'fitness': 14}
============ generation 3 ===============
0 {'chromosome': '1010111100100101', 'fitness': 9}
